@relation ECGFeature106
@attribute RRinterval_current numeric
@attribute RRinterval_previous numeric
@attribute class {N,V}

@data
1.036,0.975,N
1.006,1.036,N
1.005,1.006,N
1.059,1.005,N
1.022,1.059,N
1.039,1.022,N
0.964,1.039,N
0.877,0.964,N
0.936,0.877,N
1.0,0.936,N
0.973,1.0,N
0.919,0.973,N
0.931,0.919,N
0.855,0.931,N
0.842,0.855,N
0.847,0.842,N
0.864,0.847,N
0.828,0.864,N
0.791,0.828,N
0.8,0.791,N
0.809,0.8,N
0.775,0.809,N
0.783,0.775,N
0.795,0.783,N
0.811,0.795,N
0.786,0.811,N
0.741,0.786,N
0.684,0.741,N
0.683,0.684,N
0.7,0.683,N
0.747,0.7,N
0.77,0.747,N
0.744,0.77,N
0.839,0.744,N
0.997,0.839,N
0.956,0.997,N
0.964,0.956,N
0.978,0.964,N
1.005,0.978,N
0.978,1.005,N
0.883,0.978,N
0.828,0.883,N
0.836,0.828,N
0.858,0.836,N
0.937,0.858,N
0.941,0.937,N
0.911,0.941,N
0.917,0.911,N
0.942,0.917,N
0.958,0.942,N
1.0,0.958,N
1.092,1.0,N
0.989,1.092,N
0.963,0.989,N
0.903,0.963,N
0.853,0.903,N
0.864,0.853,N
0.889,0.864,N
0.864,0.889,N
0.844,0.864,N
0.806,0.844,N
0.741,0.806,N
0.75,0.741,N
0.789,0.75,N
0.831,0.789,N
0.864,0.831,N
0.936,0.864,N
1.03,0.936,N
0.989,1.03,N
0.903,0.989,N
0.908,0.903,N
0.967,0.908,N
0.986,0.967,N
0.914,0.986,N
0.872,0.914,N
0.892,0.872,N
0.908,0.892,N
0.911,0.908,N
0.998,0.911,N
1.03,0.998,N
1.017,1.03,N
0.98,1.017,N
0.975,0.98,N
0.925,0.975,N
0.942,0.925,N
0.975,0.942,N
0.942,0.975,N
0.836,0.942,N
0.844,0.836,N
0.842,0.844,N
0.844,0.842,N
0.867,0.844,N
0.861,0.867,N
0.822,0.861,N
0.806,0.822,N
0.75,0.806,N
0.755,0.75,N
0.734,0.755,N
0.8,0.734,N
0.894,0.8,N
0.92,0.894,N
0.555,0.92,V
0.495,0.555,V
1.197,0.495,N
0.492,1.197,V
0.463,0.492,V
1.348,0.463,N
1.002,1.348,N
0.534,1.002,V
1.172,0.534,N
0.522,1.172,V
0.472,0.522,V
1.287,0.472,N
0.525,1.287,V
1.297,0.525,N
0.539,1.297,V
0.477,0.539,V
1.273,0.477,N
0.922,1.273,N
0.497,0.922,V
0.486,0.497,V
1.356,0.486,N
0.511,1.356,V
0.497,0.511,V
1.311,0.497,N
0.87,1.311,N
0.505,0.87,V
0.472,0.505,V
1.275,0.472,N
0.887,1.275,N
0.525,0.887,V
0.48,0.525,V
1.228,0.48,N
0.461,1.228,V
1.211,0.461,N
0.517,1.211,V
0.48,0.517,V
1.325,0.48,N
0.514,1.325,V
1.239,0.514,N
0.495,1.239,V
1.175,0.495,N
0.513,1.175,V
0.487,0.513,V
1.341,0.487,N
0.547,1.341,V
1.192,0.547,N
0.5,1.192,V
0.464,0.5,V
1.261,0.464,N
0.497,1.261,V
1.27,0.497,N
0.536,1.27,V
0.483,0.536,V
1.236,0.483,N
0.523,1.236,V
0.43,0.523,V
1.225,0.43,N
0.506,1.225,V
0.508,0.506,V
1.281,0.508,N
0.519,1.281,V
1.117,0.519,N
0.508,1.117,V
0.461,0.508,V
1.22,0.461,N
0.522,1.22,V
1.25,0.522,N
0.519,1.25,V
0.484,0.519,V
1.25,0.484,N
0.486,1.25,V
1.219,0.486,N
0.842,1.219,N
0.819,0.842,N
0.559,0.819,V
0.497,0.559,V
1.286,0.497,N
0.478,1.286,V
0.486,0.478,V
1.378,0.486,N
0.522,1.378,V
1.333,0.522,N
0.892,1.333,N
0.816,0.892,N
0.923,0.816,N
0.891,0.923,N
0.525,0.891,V
0.531,0.525,V
1.305,0.531,N
0.525,1.305,V
1.273,0.525,N
0.494,1.273,V
0.45,0.494,V
1.214,0.45,N
0.514,1.214,V
1.328,0.514,N
0.566,1.328,V
1.239,0.566,N
0.542,1.239,V
1.255,0.542,N
1.028,1.255,N
1.081,1.028,N
0.93,1.081,N
0.848,0.93,N
1.03,0.848,N
0.533,1.03,V
0.481,0.533,V
0.475,0.481,V
1.481,0.475,N
0.55,1.481,V
1.447,0.55,N
1.161,1.447,N
1.108,1.161,N
1.059,1.108,N
1.113,1.059,N
1.156,1.113,N
1.111,1.156,N
1.089,1.111,N
1.028,1.089,N
1.125,1.028,N
1.114,1.125,N
1.014,1.114,N
0.913,1.014,N
0.878,0.913,N
0.939,0.878,N
1.056,0.939,N
1.136,1.056,N
1.133,1.136,N
1.05,1.133,N
1.017,1.05,N
1.072,1.017,N
1.086,1.072,N
1.095,1.086,N
0.991,1.095,N
0.892,0.991,N
0.928,0.892,N
1.1,0.928,N
1.044,1.1,N
1.092,1.044,N
1.055,1.092,N
1.064,1.055,N
0.984,1.064,N
1.044,0.984,N
1.031,1.044,N
1.069,1.031,N
0.956,1.069,N
0.988,0.956,N
1.125,0.988,N
1.081,1.125,N
1.064,1.081,N
0.947,1.064,N
0.867,0.947,N
0.925,0.867,N
1.03,0.925,N
1.15,1.03,N
1.136,1.15,N
1.034,1.136,N
0.997,1.034,N
1.008,0.997,N
0.989,1.008,N
1.031,0.989,N
1.114,1.031,N
1.114,1.114,N
1.047,1.114,N
1.075,1.047,N
1.141,1.075,N
1.025,1.141,N
1.042,1.025,N
1.047,1.042,N
1.042,1.047,N
1.058,1.042,N
1.139,1.058,N
1.147,1.139,N
1.07,1.147,N
0.928,1.07,N
0.866,0.928,N
0.875,0.866,N
0.948,0.875,N
1.052,0.948,N
0.989,1.052,N
0.892,0.989,N
0.83,0.892,N
0.814,0.83,N
0.831,0.814,N
0.869,0.831,N
0.992,0.869,N
1.05,0.992,N
0.889,1.05,N
0.892,0.889,N
0.947,0.892,N
0.947,0.947,N
0.903,0.947,N
0.941,0.903,N
0.934,0.941,N
0.525,0.934,V
1.194,0.525,N
0.909,1.194,N
0.961,0.909,N
0.894,0.961,N
0.806,0.894,N
0.802,0.806,N
0.856,0.802,N
0.822,0.856,N
0.85,0.822,N
0.875,0.85,N
0.936,0.875,N
0.934,0.936,N
0.864,0.934,N
0.9,0.864,N
0.961,0.9,N
1.0,0.961,N
1.027,1.0,N
1.014,1.027,N
0.961,1.014,N
0.917,0.961,N
0.972,0.917,N
1.089,0.972,N
